idx,count
17814-01-20151125,2
17814-02-20151125,1
17814-03-20151125,2
17814-04-20151125,1
17814-05-20151125,1
17814-06-20151125,1
17814-07-20151125,1
17814-08-20151125,1
17814-09-20151125,1
17814-10-20151125,2
17814-11-20151125,1
17814-12-20151125,2
17814-13-20151125,1
17814-15-20151125,2
17814-16-20151125,1
17814-17-20151125,1
17814-18-20151125,1
17814-20-20151125,1
17814-21-20151125,1
17814-22-20151125,1
17814-24-20151125,1
17814-25-20151125,1
17814-26-20151125,1
17814-28-20151125,1
17814-29-20151125,1
17814-30-20151125,1
17814-32-20151125,1
17814-36-20151125,3
17814-37-20151125,1
17814-GA_1-20160306,2
